League,Season,Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,PlayersScored,CoachHome,CoachAway,Referee
SP1,2024-25,2023-11-08,Almeria,Vallecano,0,2,A,19,10,5,4,,Pepe Mel,Iñigo Pérez,
SP1,2024-25,2023-11-08,Sevilla,Valencia,1,2,A,9,10,3,3,,Quique Sánchez Flores,Rubén Baraja,
SP1,2024-25,2023-12-08,Sociedad,Girona,1,1,D,15,6,2,1,,Imanol Alguacil,Míchel,
SP1,2024-25,2023-12-08,Las Palmas,Mallorca,1,1,D,5,12,2,2,,García Pimienta,Javier Aguirre,
SP1,2024-25,2023-12-08,Ath Bilbao,Real Madrid,0,2,A,7,14,1,8,,Ernesto Valverde,Carlo Ancelotti,
SP1,2024-25,,Celta,Osasuna,0,2,A,11,11,1,5,,Claudio Giráldez,Jagoba Arrasate,
SP1,2024-25,,Villarreal,Betis,1,2,A,18,12,5,5,,Marcelino,Manuel Pellegrini,
SP1,2024-25,,Getafe,Barcelona,0,0,D,5,14,2,4,,José Bordalás,Xavi,
SP1,2024-25,,Cadiz,Alaves,1,0,H,12,10,3,2,,Mauricio Pellegrino,Luis García,
SP1,2024-25,,Ath Madrid,Granada,3,1,H,14,7,6,4,,Diego Simeone,José Ramón Sandoval,
SP1,2024-25,,Mallorca,Villarreal,0,1,A,8,15,1,3,,Javier Aguirre,Marcelino,
SP1,2024-25,,Valencia,Las Palmas,1,0,H,9,7,4,1,,Rubén Baraja,García Pimienta,
SP1,2024-25,,Sociedad,Celta,1,1,D,11,17,2,6,,Imanol Alguacil,Claudio Giráldez,
SP1,2024-25,,Almeria,Real Madrid,1,3,A,20,24,8,9,,Pepe Mel,Carlo Ancelotti,
SP1,2024-25,,Osasuna,Ath Bilbao,0,2,A,18,8,7,2,,Jagoba Arrasate,Ernesto Valverde,
SP1,2024-25,,Girona,Getafe,3,0,H,7,9,6,2,,Míchel,José Bordalás,
SP1,2024-25,,Barcelona,Cadiz,2,0,H,23,10,10,1,,Xavi,Mauricio Pellegrino,
SP1,2024-25,,Betis,Ath Madrid,0,0,D,14,5,0,1,,Manuel Pellegrini,Diego Simeone,
SP1,2024-25,,Alaves,Sevilla,4,3,H,14,12,7,2,,Luis García,Quique Sánchez Flores,
SP1,2024-25,,Granada,Vallecano,0,2,A,14,17,7,9,,José Ramón Sandoval,Iñigo Pérez,
SP1,2024-25,,Las Palmas,Sociedad,0,0,D,11,8,5,1,,García Pimienta,Imanol Alguacil,
SP1,2024-25,,Celta,Real Madrid,0,1,A,13,10,4,3,,Claudio Giráldez,Carlo Ancelotti,
SP1,2024-25,,Cadiz,Almeria,1,1,D,11,5,3,2,,Mauricio Pellegrino,Pepe Mel,
SP1,2024-25,,Granada,Mallorca,3,2,H,10,10,4,5,,José Ramón Sandoval,Javier Aguirre,
SP1,2024-25,,Sevilla,Girona,1,2,A,21,8,4,3,,Quique Sánchez Flores,Míchel,
SP1,2024-25,,Villarreal,Barcelona,3,4,A,13,21,6,11,,Marcelino,Xavi,
SP1,2024-25,,Valencia,Osasuna,1,2,A,16,7,4,2,,Rubén Baraja,Jagoba Arrasate,
SP1,2024-25,,Ath Bilbao,Betis,4,2,H,14,7,6,3,,Ernesto Valverde,Manuel Pellegrini,
SP1,2024-25,,Getafe,Alaves,1,0,H,15,16,4,2,,José Bordalás,Luis García,
