League,Season,Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,PlayersScored,CoachHome,CoachAway,Referee,HomeScored,AwayScored
SP1,2024-25,2023-11-08,Almeria,Vallecano,0,2,A,19,10,5,4,,Pepe Mel,Iñigo Pérez,Javier Alberola,,Isaac Palazón Camacho; Randy Nteka
SP1,2024-25,2023-11-08,Sevilla,Valencia,1,2,A,9,10,3,3,,Quique Sánchez Flores,Rubén Baraja,José Sánchez,Youssef En-Nesyri,Mouctar Diakhaby; Javier Guerra
SP1,2024-25,2023-12-08,Sociedad,Girona,1,1,D,15,6,2,1,,Imanol Alguacil,Míchel,"Francisco
                                    Hernández",Takefusa Kubo,Artem Dovbyk
SP1,2024-25,2023-12-08,Las Palmas,Mallorca,1,1,D,5,12,2,2,,García Pimienta,Javier Aguirre,Víctor García,Jonathan Viera,Antonio Raillo
SP1,2024-25,2023-12-08,Ath Bilbao,Real Madrid,0,2,A,7,14,1,8,,Ernesto Valverde,Carlo Ancelotti,Jesús Gil,,Rodrygo; Jude Bellingham
SP1,2024-25,,Celta,Osasuna,0,2,A,11,11,1,5,,Claudio Giráldez,Jagoba Arrasate,Pablo González,,Rubén García; Moi Gómez
SP1,2024-25,,Villarreal,Betis,1,2,A,18,12,5,5,,Marcelino,Manuel Pellegrini,"Miguel
                                    Ángel Ortiz Arias",Jorge Cuenca,Ayoze Pérez; Willian José
SP1,2024-25,,Getafe,Barcelona,0,0,D,5,14,2,4,,José Bordalás,Xavi,César Soto,,
SP1,2024-25,,Cadiz,Alaves,1,0,H,12,10,3,2,,Mauricio Pellegrino,Luis García,"Isidro Díaz de
                                    Mera",Fede San Emeterio,
SP1,2024-25,,Ath Madrid,Granada,3,1,H,14,7,6,4,,Diego Simeone,José Ramón Sandoval,Juan Pulido,Álvaro Morata; Memphis; Marcos Llorente,Samu Omorodion
SP1,2024-25,,Mallorca,Villarreal,0,1,A,8,15,1,3,,Javier Aguirre,Marcelino,Javier Alberola,,Gerard Moreno
SP1,2024-25,,Valencia,Las Palmas,1,0,H,9,7,4,1,,Rubén Baraja,García Pimienta,"Javier
                                    Villanueva",José Luis García Vayá,
SP1,2024-25,,Sociedad,Celta,1,1,D,11,17,2,6,,Imanol Alguacil,Claudio Giráldez,"Miguel
                                    Ángel Ortiz Arias",Ander Barrenetxea,Óscar Mingueza
SP1,2024-25,,Almeria,Real Madrid,1,3,A,20,24,8,9,,Pepe Mel,Carlo Ancelotti,José Sánchez,Sergio Arribas,Jude Bellingham; Jude Bellingham; Vinicius Júnior
SP1,2024-25,,Osasuna,Ath Bilbao,0,2,A,18,8,7,2,,Jagoba Arrasate,Ernesto Valverde,"José Luis
                                    Munuera",,Iñaki Williams; Gorka Guruzeta
SP1,2024-25,,Girona,Getafe,3,0,H,7,9,6,2,,Míchel,José Bordalás,Jorge Figueroa,,
SP1,2024-25,,Barcelona,Cadiz,2,0,H,23,10,10,1,,Xavi,Mauricio Pellegrino,Alejandro Muñíz,Pedri; Ferrán Torres,
SP1,2024-25,,Betis,Ath Madrid,0,0,D,14,5,0,1,,Manuel Pellegrini,Diego Simeone,"Ricardo de
                                    Burgos",,
SP1,2024-25,,Alaves,Sevilla,4,3,H,14,12,7,2,,Luis García,Quique Sánchez Flores,Guillermo Cuadra,Luis Rioja; Rubén Duarte; Kiké; Kiké,Érik Lamela; Rafa Mir
SP1,2024-25,,Granada,Vallecano,0,2,A,14,17,7,9,,José Ramón Sandoval,Iñigo Pérez,Pablo González,,Álvaro García; Pathé Ciss
SP1,2024-25,,Las Palmas,Sociedad,0,0,D,11,8,5,1,,García Pimienta,Imanol Alguacil,Guillermo Cuadra,,
SP1,2024-25,,Celta,Real Madrid,0,1,A,13,10,4,3,,Claudio Giráldez,Carlo Ancelotti,"Isidro Díaz de
                                    Mera",,Jude Bellingham
SP1,2024-25,,Cadiz,Almeria,1,1,D,11,5,3,2,,Mauricio Pellegrino,Pepe Mel,Víctor García,Luis Hernández,Kaiky
SP1,2024-25,,Granada,Mallorca,3,2,H,10,10,4,5,,José Ramón Sandoval,Javier Aguirre,"Francisco
                                    Hernández",Miguel Ángel Rubio; Bryan Zaragoza; Myrto Uzuni,Abdón Prats; Samu Costa
SP1,2024-25,,Sevilla,Girona,1,2,A,21,8,4,3,,Quique Sánchez Flores,Míchel,Jesús Gil,Nemanja Gudelj,Yangel Herrera; Aleix García
SP1,2024-25,,Villarreal,Barcelona,3,4,A,13,21,6,11,,Marcelino,Xavi,"Alejandro
                                    Hernández",Juan Foyth; Alexander Sørloth; Alex Baena,Gavi; Frenkie de Jong; Ferrán Torres; Robert Lewandowski
SP1,2024-25,,Valencia,Osasuna,1,2,A,16,7,4,2,,Rubén Baraja,Jagoba Arrasate,Juan Pulido,Hugo Duro,Aimar Oroz; Nacho Vidal
SP1,2024-25,,Ath Bilbao,Betis,4,2,H,14,7,6,3,,Ernesto Valverde,Manuel Pellegrini,César Soto,Mikel Vesga; Mikel Vesga; Gorka Guruzeta; Unai Gómez,Willian José; Isco
SP1,2024-25,,Getafe,Alaves,1,0,H,15,16,4,2,,José Bordalás,Luis García,Juan Martínez,Borja Mayoral,
SP1,2024-25,,Vallecano,Ath Madrid,0,7,A,12,17,3,10,,Iñigo Pérez,Diego Simeone,"José Luis
                                    Munuera",,Antoine Griezmann; Memphis; Nahuel Molina; Álvaro Morata; Ángel Correa; Álvaro Morata; Marcos Llorente
SP1,2024-25,2023-01-09,Cadiz,Villarreal,3,1,H,18,7,4,3,,Mauricio Pellegrino,Marcelino,Juan Pulido,Chris Ramos; Darwin Machís; Darwin Machís,Alexander Sørloth
SP1,2024-25,2023-01-09,Almeria,Celta,2,3,A,16,14,5,8,,Pepe Mel,Claudio Giráldez,"Ricardo de
                                    Burgos",Sergio Akieme; Sergio Arribas,Unai Núñez; Jørgen Strand Larsen; Williot Swedberg
SP1,2024-25,2023-02-09,Sociedad,Granada,5,3,H,15,8,6,5,,Imanol Alguacil,José Ramón Sandoval,"Javier
                                    Villanueva",Takefusa Kubo; Takefusa Kubo; Martín Zubimendi; Ander Barrenetxea,Lucas Boyé; Bryan Zaragoza
SP1,2024-25,2023-02-09,Real Madrid,Getafe,2,1,H,26,6,12,2,,Carlo Ancelotti,José Bordalás,Mario Melero,Joselu; Jude Bellingham,Borja Mayoral
SP1,2024-25,2023-02-09,Alaves,Valencia,1,0,H,7,9,1,4,,Luis García,Rubén Baraja,Pablo González,,
SP1,2024-25,2023-02-09,Betis,Vallecano,1,0,H,14,15,5,6,,Manuel Pellegrini,Iñigo Pérez,Alejandro Muñíz,Willian José,
SP1,2024-25,2023-03-09,Girona,Las Palmas,1,0,H,11,10,6,5,,Míchel,García Pimienta,Mateo Busquets,Portu,
SP1,2024-25,2023-03-09,Mallorca,Ath Bilbao,0,0,D,8,11,2,3,,Javier Aguirre,Ernesto Valverde,Jorge Figueroa,,
