Ath Bilbao - Ernesto Valverde
Getafe - José Bordalás
Betis - Manuel Pellegrini
Girona - Míchel
Celta - Claudio Giráldez
Alaves - Eduardo Coudet
Las Palmas - Diego Martínez
Sevilla - Joaquín Caparrós
Osasuna - Vicente Moreno
Leganes - Borja Jiménez
Valencia - Carlos Corberán
Barcelona - Hansi Flick
Sociedad - Imanol Alguacil
Vallecano - Iñigo Pérez
Mallorca - Jagoba Arrasate
Real Madrid - Carlo Ancelotti
Valladolid - Álvaro Rubio
Espanol - Manolo González
Villarreal - Marcelino
Ath Madrid - Diego Simeone
